start_time,total_cycles,fps,fps_r,config.simulation.dataset,config.simulation.scene,config.hardware.udpe.udpe_utilization,config.hardware.udpe.skip_enabled,config.hardware.memory.read_latency_hiding_rate,config.hardware.wbs.scheduling_mode,config.hardware.wbs.window_size_k,config.algorithm.foveated_enabled,config.algorithm.early_stop_ratio,preprocess_cycles,sort_cycles,rasterize_cycles,module_utilization.fre,cache_hit_ratio
2026-03-18T22:59:09.703706,30139937.571428593,165.89284527051547,82.94642263525773,dynerf,sear_steak,0.35,False,0.5,default_fifo,4,False,0.4,19317445.714285716,4704078.214285754,26140916.812500022,0.8671715997262219,0.0
2026-03-18T23:01:17.344401,28405680.669642873,176.02112965184094,88.01056482592047,dynerf,sear_steak,0.35,True,0.5,default_fifo,4,False,0.4,10682434.285714285,4704078.2142857,26140882.767857157,0.9201151763772465,0.0
2026-03-18T23:38:04.365319,18907993.973214302,264.4384172685461,132.21920863427306,dynerf,sear_steak,0.35,True,0.5,default_fifo,4,True,0.4,10682434.285714285,3227273.839285705,16643196.071428588,0.8801339478567288,0.654729852212471
2026-03-18T23:40:04.001576,23272677.09374999,214.8442132316088,107.4221066158044,dynerf,sear_steak,0.35,False,0.5,default_fifo,4,True,0.4,19317445.714285716,3227273.8392857094,16650717.07142856,0.7150694656878422,0.6547272470705722
2026-03-18T23:41:38.162388,27592682.660714313,181.20746219137507,90.60373109568754,dynerf,sear_steak,0.35,False,0.5,default_fifo,4,False,0.4,19317445.714285716,3227273.8392857094,23593661.901785742,0.8549494608051937,0.6487727067967066
2026-03-18T23:44:56.148472,27592682.660714313,181.20746219137507,90.60373109568754,dynerf,sear_steak,0.35,False,0.5,default_fifo,4,False,0.4,19317445.714285716,3227273.8392857094,23593661.901785742,0.8549494608051937,0.6487727067967066
2026-03-19T01:52:37.046836,31470088.732142862,158.88102644251867,79.44051322125934,hypernerf/interp,torchocolate,0.35,False,0.5,default_fifo,4,False,0.7,27818845.714285716,1279423.1249999972,13194016.669642888,0.41513052224705926,0.4143795377726493
2026-03-19T01:54:33.245525,23124435.01785715,216.2214988664112,108.1107494332056,hypernerf/interp,torchocolate,0.5,False,0.5,default_fifo,4,False,0.7,19473192.0,1279445.2232142612,13194369.491071425,0.5649585256546674,0.41432209761253164
2026-03-19T01:56:08.539541,23391679.10714286,213.75122226575024,106.87561113287512,hypernerf/interp,torchocolate,0.5,False,0.4,default_fifo,4,False,0.7,19473192.0,1530216.9642857076,13623337.696428576,0.5766597534304835,0.41247667291275225
2026-03-19T02:10:05.051904,15799123.883928567,316.4732447655644,158.2366223827822,hypernerf/interp,torchocolate,0.5,True,0.4,default_fifo,4,False,0.7,10408788.0,1530216.964285701,13516400.285714282,0.8532678621773162,0.4150662667980557
2026-03-19T02:30:29.943832,12954928.017857142,385.95351460911036,192.97675730455518,hypernerf/interp,torchocolate,0.5,True,0.4,default_fifo,4,True,0.7,10408788.0,1530216.964285701,7123178.624999998,0.5455969272774084,0.4189307131259701
